Goiás,,,
17,,,
 Partido da Social Democracia Brasileira (PSDB) ,920741,30.4,6
 Partido do Movimento Democrático Brasileiro (PMDB) ,416210,13.7,2
 Partido Social Democrático (PSD) ,265622,8.8,2
 Partido dos Trabalhadores (PT) ,280901,9.3,1
 Partido Democrático Trabalhista (PDT) ,171024,5.6,1
 Partido Progressista (PP) ,170588,5.6,1
 Partido Trabalhista Brasileiro (PTB) ,125167,4.1,1
 Partido da República (PR) ,122335,4,1
 Partido Popular Socialista (PPS) ,94843,3.1,1
 Solidariedade (SD) ,80387,2.7,1
 Partido Republicano Progressista (PRP) ,110254,3.6,0
 Partido Republicano da Ordem Social (PROS) ,74601,2.5,0
 Partido Republicano Brasileiro (PRB) ,63516,2.1,0
 Partido Comunista do Brasil (PC do B) ,35594,1.2,0
 Partido Socialista Brasileiro (PSB) ,34113,1.1,0
 Democratas (DEM) ,28889,1,0
 Partido Social Cristão (PSC) ,18314,0.6,0
 Partido Socialismo e Liberdade (PSOL) ,5847,0.2,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,4420,0.1,0
 Partido Social Democrata Cristão (PSDC) ,3434,0.1,0
 Partido Pátria Livre (PPL) ,2613,0.1,0
 Partido Socialista dos Trabalhadores Unificado (PSTU) ,2104,0.1,0
 Partido Trabalhista Nacional (PTN) ,1243,0,0
